repo,tier,pr_number,title,author,merged_at,additions,deletions,lines_changed,size_bucket,files_count,specd,spec_source,classification,ci_status,review_modified,escaped,review_cycles,time_to_merge_hours,approval_mechanism,workflow_type,reworked,rework_type,q_overall,q_outcome_clarity,q_error_states,q_scope_boundaries,q_acceptance_criteria,q_data_contracts,q_dependency_context,q_behavioral_specificity,q_change_type,q_spec_length_signal,strict_escaped,f_is_bot_author,f_ai_tagged,f_typos,f_casual,f_questions,f_fp_experience,f_fp_action,f_human_mentions,f_history,f_people_context,f_external_context,f_incidents,f_has_org_context,f_negations,f_causal_chains,f_specific_edges,f_generic_edges,f_edge_ratio,f_tradeoffs,f_domain_grounding,f_templates,f_slop,f_empty_sections,f_issue_refs,f_any_issue_refs,f_body_len,f_word_count,f_sent_len_mean,f_sent_len_std,f_type_token_ratio,f_avg_word_len,f_human_signals,f_org_context_signals,f_reasoning_signals,f_anti_signals,f_perplexity,formality_lived_experience,formality_organizational_memory,formality_uncertainty,formality_negative_scope,formality_causal_reasoning,formality_genuine_edge_cases,formality_template_filler,formality_overall,formality_classification,fev_lived_experience,fev_organizational_memory,fev_uncertainty,fev_causal_reasoning,ai_probability,szz_bug_introducing,szz_fix_count
liam-hq/liam,AI,4062,chore(deps): update dependency storybook to v9.1.19 [security],renovate,2026-03-01T19:25:43+00:00,55,62,0,,3,False,,,,False,False,0,0.0,label_based,label-based,False,,,,,,,,,,,,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,3.0,0.0,0.0,0.0,0.0,0.0,4481.0,499.0,20.7,11.7,0.504,5.7,0.0,7.0,2.0,0.0,0.0,,,,,,,,,,,,,,0.9392,False,0
liam-hq/liam,AI,4052,fix(deps): update dependency @modelcontextprotocol/sdk to v1.26.0 [security],renovate,2026-02-08T08:04:17+00:00,56,30,0,,3,False,,,,False,False,0,0.0,label_based,label-based,False,,,,,,,,,,,,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,8589.0,780.0,37.1,41.2,0.342,6.1,0.0,2.0,6.0,0.0,0.0,,,,,,,,,,,,,,0.8811,False,0
liam-hq/liam,AI,4039,fix(deps): update dependency @modelcontextprotocol/sdk to v1.25.2 [security],renovate,2026-01-19T17:53:51+00:00,34,8,0,,2,False,,,,False,False,0,0.0,no_review,minimal-review,False,,,,,,,,,,,,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,89.0,13677.0,810.0,67.4,162.8,0.222,6.3,0.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.997,False,0
liam-hq/liam,AI,4030,chore(deps): update dependency storybook to v9.1.17 [security],renovate,2025-12-21T00:21:50+00:00,50,49,0,,2,False,,,,False,False,0,0.0,no_review,minimal-review,False,,,,,,,,,,,,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4581.0,496.0,20.6,16.1,0.455,5.5,0.0,3.0,1.0,0.0,0.0,,,,,,,,,,,,,,0.8018,False,0
liam-hq/liam,AI,4025,🔒(security): Upgrade Next.js to 15.4.8 for CVE-2025-66478,sasamuku,2025-12-04T05:39:28+00:00,88,77,165,medium,4,False,,human_save,clean_pass,True,False,0,0.5,approve_only,minimal-review,False,,,,,,,,,,,,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,971.0,130.0,43.3,36.6,0.696,5.3,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.3892,False,0
liam-hq/liam,AI,4022,fix(deps): update dependency @modelcontextprotocol/sdk to v1.24.0 [security],renovate,2025-12-21T00:39:57+00:00,53,12,0,,2,False,,,,False,False,0,0.0,no_review,minimal-review,False,,,,,,,,,,,,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,0.0,0.0,118.0,16825.0,999.0,71.3,165.4,0.207,6.3,0.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.9972,False,0
liam-hq/liam,AI,4012,Version Packages,liam-changeset-ci-trigger,2025-11-25T02:36:08+00:00,18,9,27,small,5,False,,human_save,clean_pass,True,False,0,0.2,rubber_stamp,minimal-review,False,,,,,,,,,,,,False,False,False,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1177.0,163.0,27.2,13.5,0.38,4.6,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.6083,False,0
liam-hq/liam,AI,4008,Update dependency glob to v11.1.0 [SECURITY],renovate,2025-11-19T02:21:30+00:00,18,9,0,,3,False,,,,False,False,0,0.0,no_review,minimal-review,False,,,,,,,,,,,,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,5.0,3.0,0.0,1.0,0.0,0.0,0.0,7004.0,863.0,37.5,48.3,0.434,5.5,0.0,3.0,5.0,1.0,0.0,,,,,,,,,,,,,,0.8439,False,0
liam-hq/liam,AI,4007,♻️ refactor(erd-core): extract show/hide all table nodes hook from the LeftPane component,tnyo43,2025-11-17T08:41:53+00:00,246,41,287,medium,5,False,,human_save,clean_pass,True,False,0,8.6,approve_only,minimal-review,False,,,,,,,,,,,,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1065.0,158.0,17.6,11.1,0.649,5.1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.3393,False,0
liam-hq/liam,AI,4006,"✨ feat(command palette): Add ""Show All"" and ""Hide All"" table visibility shortcuts and options in CommandPalette",tnyo43,2025-11-25T02:20:55+00:00,246,5,251,medium,7,False,,human_save,clean_pass,True,False,1,194.4,comment_approve,minimal-review,False,,,,,,,,,,,,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1749.0,209.0,23.2,17.4,0.498,4.9,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.5377,False,0
