repo,tier,pr_number,title,author,merged_at,additions,deletions,lines_changed,size_bucket,files_count,specd,spec_source,classification,ci_status,review_modified,escaped,review_cycles,time_to_merge_hours,approval_mechanism,workflow_type,reworked,rework_type,q_overall,q_outcome_clarity,q_error_states,q_scope_boundaries,q_acceptance_criteria,q_data_contracts,q_dependency_context,q_behavioral_specificity,q_change_type,q_spec_length_signal,strict_escaped,f_is_bot_author,f_ai_tagged,f_typos,f_casual,f_questions,f_fp_experience,f_fp_action,f_human_mentions,f_history,f_people_context,f_external_context,f_incidents,f_has_org_context,f_negations,f_causal_chains,f_specific_edges,f_generic_edges,f_edge_ratio,f_tradeoffs,f_domain_grounding,f_templates,f_slop,f_empty_sections,f_issue_refs,f_any_issue_refs,f_body_len,f_word_count,f_sent_len_mean,f_sent_len_std,f_type_token_ratio,f_avg_word_len,f_human_signals,f_org_context_signals,f_reasoning_signals,f_anti_signals,f_perplexity,formality_lived_experience,formality_organizational_memory,formality_uncertainty,formality_negative_scope,formality_causal_reasoning,formality_genuine_edge_cases,formality_template_filler,formality_overall,formality_classification,fev_lived_experience,fev_organizational_memory,fev_uncertainty,fev_causal_reasoning,ai_probability,szz_bug_introducing,szz_fix_count
juspay/hyperswitch,?,11652,ci(cypress): add payment method blocking tests for business profile,likhinbopanna,2026-04-02T12:16:35+00:00,394,1,395,medium,5,False,,pending,failed,False,False,1,73.0,cr_approve,comment-driven,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0
juspay/hyperswitch,?,11553,feat(core/connector): [SANTANDER] Add & Implement PushNotification & GenerateQr Connector Integration Flow ,bsayak03,2026-04-02T09:05:59+00:00,2287,126,2413,large,35,False,,pending,failed,False,False,1,332.4,cr_approve,comment-driven,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0
juspay/hyperswitch,?,11583,feat(router): Add payment_session_id validation support to SdkAuthorization,AnuthaDev,2026-04-02T03:59:30+00:00,519,4,523,large,29,False,,pending,failed,False,False,1,224.9,comment_approve,comment-driven,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1
juspay/hyperswitch,?,11554,feat(core/connector): [SANTANDER] Implement AuthorizeSessionToken (PayloadLocation) Flow for Pix Automatico,bsayak03,2026-04-01T17:02:15+00:00,156,26,182,medium,6,False,,pending,failed,False,False,1,311.3,comment_approve,comment-driven,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0
juspay/hyperswitch,?,11675,feat(connector): [Noon] Add support for configurable region_based_endpoint while creating mca,swangi-kumari,2026-04-01T15:52:09+00:00,294,21,315,medium,14,False,,pending,failed,False,False,0,7.5,approve_only,comment-driven,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0
juspay/hyperswitch,?,11559,feat(core): Adding new Payment Method Types : PixAutomaticoPush & PixAutomaticoQr,bsayak03,2026-04-01T15:49:31+00:00,340,9,349,medium,18,False,,pending,failed,False,False,1,296.8,cr_approve,comment-driven,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0
juspay/hyperswitch,?,11654,feat(blocklist): introduce EligibilityPaymentMethodData for blocklist and eligibility checks,ayush22667,2026-04-01T14:46:39+00:00,763,23,786,large,8,False,,pending,failed,False,False,1,31.9,comment_approve,comment-driven,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0
juspay/hyperswitch,?,11687,fix(connectors): [stripe] fix webhook event type mapping,AkshayaFoiger,2026-04-01T14:06:29+00:00,25,22,47,small,2,False,,pending,failed,False,False,0,1.0,approve_only,comment-driven,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0
juspay/hyperswitch,?,11638,ci(cypress): Add test for external vault,Gnanasundari24,2026-04-01T13:12:43+00:00,486,4,490,medium,45,False,,pending,failed,False,False,1,120.9,comment_approve,comment-driven,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0
juspay/hyperswitch,?,11569,feat(core): Add `CurrentFlowInfo` in `AccessTokenRequestData` and moved `get_access_token_key` to `ConnectorSpecifications`,bsayak03,2026-04-01T13:12:43+00:00,486,142,628,large,70,False,,pending,failed,False,False,1,264.3,comment_approve,comment-driven,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0
juspay/hyperswitch,?,11653,fix(connectors): [stripe] fix webhook event type mapping,AkshayaFoiger,2026-04-01T13:12:43+00:00,25,22,47,small,2,False,,pending,failed,False,False,0,43.8,approve_only,comment-driven,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0
juspay/hyperswitch,?,11656,fix(paysafe): pass MCA metadata account_id to UCS connector config,pixincreate,2026-04-01T12:25:02+00:00,50,6,56,small,1,False,,pending,failed,False,False,0,24.4,approve_only,comment-driven,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0
juspay/hyperswitch,?,11648,refactor(router): handle dispute webhook validation failure with 4xx response,AkshayaFoiger,2026-04-01T10:50:56+00:00,1,1,2,small,1,False,,pending,failed,False,False,0,52.3,rubber_stamp,comment-driven,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0
juspay/hyperswitch,?,11484,feat(ucs): Bump UCS client dependency to bring latest changes,Saptak88,2026-03-31T16:02:05+00:00,3850,1881,5731,large,28,False,,pending,failed,False,False,1,486.6,comment_approve,comment-driven,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1
juspay/hyperswitch,?,11612,ci(cypress): added payment webhook fixtures,vasanthp-jus,2026-03-31T14:36:26+00:00,365,39,404,medium,25,False,,pending,failed,False,False,1,149.1,comment_approve,comment-driven,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0
juspay/hyperswitch,?,11637,feat(connectors): [Revolv3] Added Debit as a supported payment method in feature matrix,AkshayaFoiger,2026-03-31T13:33:22+00:00,20,1,21,small,1,False,,pending,failed,False,False,1,98.6,comment_approve,comment-driven,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0
juspay/hyperswitch,?,11571,feat(core): Introduce New Operation to Accommodate Santander CIT Flow,Anurag-05-prog,2026-03-31T13:30:59+00:00,1105,22,1127,large,9,False,,pending,failed,False,False,1,230.7,comment_approve,comment-driven,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0
